t,y,u0,u1,c,c2,c3,P,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16
0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,4.000000000000000222e-01,5.000000000000000000e-01,5.999999999999999778e-01,7.780612741034796942e-01,-9.906433810000000451e-01,4.425578840000000125e-01,-3.463157199999999936e-02,-8.346011000000000402e-02,-9.066995639999999579e-01,-8.166231889999999716e-01,3.458087229999999845e-01,-2.597159419999999774e-01,-2.737368709999999927e-01,-3.523478000000000027e-03,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000222e-01,5.000000000000000000e-01,5.999999999999999778e-01,8.678878875980230445e-01,-1.367004673000000059e+00,-2.388879090000000094e-01,-1.147410626999999961e+00,-1.110467446999999996e+00,-1.117856522000000075e+00,-9.276459500000000524e-01,-3.613484200000000035e-01,-5.580568479999999942e-01,-5.188150630000000207e-01,-9.799811250000000085e-01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000222e-01,5.000000000000000000e-01,5.999999999999999778e-01,8.081864831842956454e-01,-9.906433810000000451e-01,-9.203337019999999757e-01,-1.147410626999999961e+00,-1.110467446999999996e+00,-9.066995639999999579e-01,-8.166231889999999716e-01,-9.506460389999999983e-01,-5.580568479999999942e-01,-5.188150630000000207e-01,-9.799811250000000085e-01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000222e-01,5.000000000000000000e-01,5.999999999999999778e-01,7.303209048727080654e-01,4.435017100000000073e-02,-5.796108060000000339e-01,-3.525684450000000081e-01,-2.342793689999999873e-01,-1.082623159999999973e-01,-2.336384310000000075e-01,-6.707296699999999445e-01,-4.058420999999999834e-01,-3.404325599999999952e-01,-4.434659340000000061e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,4.000000000000000222e-01,5.000000000000000000e-01,5.999999999999999778e-01,8.081216053601957272e-01,-6.142820900000000028e-01,7.832807809999999815e-01,6.229196879999999714e-01,7.352730109999999764e-01,-6.533112140000000290e-01,-6.569127059999999574e-01,7.435846149999999488e-01,1.970415209999999973e-01,2.727722770000000074e-01,6.929707889999999759e-01,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,4.000000000000000222e-01,5.000000000000000000e-01,5.999999999999999778e-01,1.101376285060268329e-01,2.114337276000000099e+00,1.464726573999999948e+00,1.243368650000000047e-01,1.750871910000000031e-01,2.446736878999999920e+00,2.773335585999999964e+00,1.627531043999999927e+00,-1.683870929999999877e-01,-1.348084930000000015e-01,3.934977640000000276e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,4.000000000000000222e-01,5.000000000000000000e-01,5.999999999999999778e-01,4.653918782412110322e-01,9.852533999999999459e-01,1.018349880000000013e-01,4.133703859999999786e-01,3.689976669999999737e-01,8.947332359999999873e-01,7.707763709999999602e-01,-2.250228900000000171e-02,2.886309299999999939e-02,-1.022598000000000083e-02,2.842437609999999837e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000222e-01,5.000000000000000000e-01,5.999999999999999778e-01,6.791054204903217428e-01,-9.906433810000000451e-01,-9.203337019999999757e-01,-9.212418970000000318e-01,-7.980561240000000334e-01,-9.066995639999999579e-01,-8.166231889999999716e-01,-9.506460389999999983e-01,-5.457326110000000341e-01,-4.961367309999999975e-01,-8.425844620000000340e-01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000222e-01,5.000000000000000000e-01,5.999999999999999778e-01,8.938572035606408006e-01,-1.367004673000000059e+00,-9.203337019999999757e-01,-1.147410626999999961e+00,-1.070277992000000067e+00,-1.117856522000000075e+00,-9.276459500000000524e-01,-9.506460389999999983e-01,-5.580568479999999942e-01,-5.184397600000000272e-01,-9.799811250000000085e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,4.000000000000000222e-01,5.000000000000000000e-01,5.999999999999999778e-01,6.219262039891675364e-01,1.832066307000000061e+00,1.805449470999999972e+00,3.455448193000000057e+00,3.263291070000000182e+00,2.023103230999999891e+00,2.179331541999999899e+00,2.113701579000000219e+00,4.546408126000000216e+00,3.926137988999999884e+00,4.301767060999999615e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
